entityName,DefendersInBox,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,8,4210036 345,4210036,57577,345,4210036,2018-09-09,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,true,false,6,24,Cardinals,Redskins,ARI,WSH,1,613,0,0,1,10,92,92,RUSH,0.525832,-0.00311385,-0.0176462,-0.249972,2,1,92,613,7,32,266,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the left guard for 2 yards. 1 yards after contact.",,401030725,,74248,74248,7,32,266,Punt,true,,,,,,,,2,2018-09-09 (W1),WSH 24 @ ARI 6,1,,,2587
Arizona Cardinals,8,4210036 409,4210036,57577,409,4210036,2018-09-09,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,true,false,6,24,Cardinals,Redskins,ARI,WSH,1,527,0,0,2,10,80,80,RUSH,0.53558,0.0236414,0.195429,1.02583,2,1,92,613,7,32,266,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the right guard for 11 yards. 2 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2469011"">D. Swearinger</a>.",,401030725,,74368,74368,7,32,266,Punt,true,,,,,,,,11,2018-09-09 (W1),WSH 24 @ ARI 6,1,,,2587
Arizona Cardinals,8,4210036 2159,4210036,57577,2159,4210036,2018-09-09,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,WASHINGTON,WSH,true,false,6,24,Cardinals,Redskins,ARI,WSH,3,727,21,0,1,10,69,69,RUSH,0.0165844,-0.000732657,1.22113,-0.0343779,11,3,69,727,3,-1,60,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3119195"">C. Edmonds</a> rushes towards the right guard for 4 yards. 2 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3925354"">D. Payne</a>.",,401030725,,79713,79713,3,-1,60,Punt,true,,,,,,,,4,2018-09-09 (W1),WSH 24 @ ARI 6,3,,,2587
Arizona Cardinals,8,4210019 688,4210019,57593,688,4210019,2018-09-16,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,LARAMS,LA,false,false,0,34,Cardinals,Rams,ARI,LA,1,152,0,0,1,10,93,93,RUSH,0.52211,-0.0199642,-0.0692813,-0.695358,4,1,93,152,3,9,104,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes outside the right tackle for -2 yards. 0 yards after contact.",,401030732,,,,3,9,104,Punt,true,,,,,,,,-2,2018-09-16 (W2),ARI 0 @ LA 34,1,,,2587
Arizona Cardinals,8,4210019 1990,4210019,57593,1990,4210019,2018-09-16,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,LARAMS,LA,false,false,0,34,Cardinals,Rams,ARI,LA,3,851,0,19,2,5,64,64,RUSH,0.0234098,0.00381124,1.30192,-0.0861719,10,3,69,900,3,9,141,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes outside the right tackle for 3 yards. 2 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3046292"">J. Johnson</a>.",,401030732,,,,3,9,141,Punt,true,,,,,,,,3,2018-09-16 (W2),ARI 0 @ LA 34,3,,,2587
Arizona Cardinals,8,4210019 2155,4210019,57593,2155,4210019,2018-09-16,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,LARAMS,LA,false,false,0,34,Cardinals,Rams,ARI,LA,3,666,0,19,1,10,98,98,RUSH,0.0179243,-0.00363515,-0.34206,-0.371728,12,3,98,666,6,13,317,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2312714"">D. Coleman</a> rushes up the middle for 1yard. 1 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2578565"">R. Wilson</a>.",,401030732,,,,6,13,317,Punt,true,,,,,,,,1,2018-09-16 (W2),ARI 0 @ LA 34,3,,,2587
Arizona Cardinals,8,4210019 2203,4210019,57593,2203,4210019,2018-09-16,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,LARAMS,LA,false,false,0,34,Cardinals,Rams,ARI,LA,3,597,0,19,2,10,98,98,RUSH,0.0134637,0.0000250354,-0.815658,-0.0316308,12,3,98,666,6,13,317,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes up the middle for 5 yards. 2 yards after contact.",,401030732,,,,6,13,317,Punt,true,,,,,,,,5,2018-09-16 (W2),ARI 0 @ LA 34,3,,,2587
Arizona Cardinals,8,4210191 229,4210191,57624,229,4210191,2018-09-30,4,,8801,Arizona Cardinals,ARIZONA,REG,,true,SEATTLE,SEA,true,false,17,20,Cardinals,Seahawks,ARI,SEA,1,682,0,0,1,10,93,93,RUSH,0.525048,0.00748147,-0.0715814,0.0843803,2,1,93,682,5,2,136,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes outside the left tackle for 5 yards. 4 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""3046326"">T. Flowers</a>.",,401030848,,72773,72773,5,2,136,Punt,true,,,,,,,,5,2018-09-30 (W4),SEA 20 @ ARI 17,1,,,2587
Arizona Cardinals,8,4210191 1224,4210191,57624,1224,4210191,2018-09-30,4,,8801,Arizona Cardinals,ARIZONA,REG,,true,SEATTLE,SEA,true,false,17,20,Cardinals,Seahawks,ARI,SEA,2,713,7,3,1,10,85,85,PENALTY,0.392412,-0.0241781,0.325779,-0.447323,8,2,85,713,3,-4,148,Punt,"Illegal Formation on <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2079760"">L. Fitzgerald</a> Accepted. 5 yard penalty.",,401030848,,75473,75473,3,-4,148,Punt,true,,,,,,,,0,2018-09-30 (W4),SEA 20 @ ARI 17,2,,,2587
Arizona Cardinals,8,4210090 736,4210090,57641,736,4210090,2018-10-07,5,,8801,Arizona Cardinals,ARIZONA,REG,,true,SANFRNCSCO,SF,false,true,28,18,Cardinals,49ers,ARI,SF,1,325,7,6,2,10,61,61,RUSH,0.59489,0.0252271,1.21577,1.00251,6,1,61,331,5,16,151,Punt,"<a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2508176"">D. Johnson</a> rushes towards the left guard for 10 yards. 7 yards after contact. Tackle by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2266876"">M. Smith</a>. Assist by <a href=""#"" data-tmn-route-type=""player"" data-tmn-id=""2971699"">A. Colbert</a>.",,401030797,,75428,75428,5,16,151,Punt,true,,,,,,,,10,2018-10-07 (W5),ARI 28 @ SF 18,1,,,2587
