entityName,playIdZ,gameId,gsisGameKey,playId,gameId,plainDate,week,playoffWeek,teamId,teamName,token,seasonType,ncaa,nfl,opponentToken,oppAbbrevName,home,win,finalScore,finalScoreOpponent,team,opponent,abbrevName,oppAbbrevName,quarter,gameClock,roadPriorScore,homePriorScore,downStart,distToFirstStart,goalDistStart,pos,playType,startWp,wpa,startEp,epa,driveNumber,driveStartQuarter,driveStartDistance,driveStartingClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,playDesc,sDRGameId,sdrEventId,scheduleId,wallClock,wallClock,drivePlays,driveYards,driveTimeOfPossession,driveHowEnded,onOffense,highlightVideo,highlightImageSmall,highlightImageLarge,highlightCaption,videoBroadcast,videoSideline,videoEndZone,yards,date,game,qtr,zebraData,zebraBallSnapY,EventSum
Arizona Cardinals,4170694 453,4170694,57239,453,4170694,2017-09-10,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,DETROIT,DET,false,false,23,35,Cardinals,Lions,ARI,DET,1,517,7,0,3,1,58,58,RUSH,0.73703,-0.0267328,1.62909,-1.58895,4,1,67,573,3,9,97,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2508176">D. Johnson</a> rushes up the middle for 0 yards. 1 yards after contact.,,400951576,,62623,62623,3,9,97,Punt,true,,,,,,,,0,2017-09-10 (W1),ARI 23 @ DET 35,1,,,3100
Arizona Cardinals,4170694 3299,4170694,57239,3299,4170694,2017-09-10,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,DETROIT,DET,false,false,23,35,Cardinals,Lions,ARI,DET,3,108,17,15,3,1,66,66,RUSH,0.633706,0.0165573,1.20142,0.241759,19,3,75,187,6,9,231,Punt,<a href="#" data-tmn-route-type="player" data-tmn-id="2517377">K. Williams</a> rushes up the middle for 1yard. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2312629">T. Whitehead</a>.,,400951576,,70430,70430,6,9,231,Punt,true,,,,,,,,1,2017-09-10 (W1),ARI 23 @ DET 35,3,,,3100
Arizona Cardinals,4170694 4322,4170694,57239,4322,4170694,2017-09-10,1,,8801,Arizona Cardinals,ARIZONA,REG,,true,DETROIT,DET,false,false,23,35,Cardinals,Lions,ARI,DET,4,147,17,35,4,2,30,30,RUSH,0.000800329,0.000368966,1.56422,1.49138,24,4,75,243,10,75,150,Touchdown Pass,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> rushes up the middle for 2 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="3054951">J. Davis</a>.,,400951576,,73025,73025,10,75,150,Touchdown Pass,true,,,,,,,,2,2017-09-10 (W1),ARI 23 @ DET 35,4,,,3100
Arizona Cardinals,4170767 890,4170767,57253,890,4170767,2017-09-17,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,INDIANAPOL,IND,false,true,16,13,Cardinals,Colts,ARI,IND,2,900,0,10,1,8,8,8,RUSH,0.301574,-0.0273351,4.97179,-0.625071,5,1,75,87,7,74,207,Downs,<a href="#" data-tmn-route-type="player" data-tmn-id="2517377">K. Williams</a> rushes up the middle for -2 yards. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2515516">J. Hankins</a>.,,400951632,,63477,63477,7,74,207,Downs,true,,,,,,,,-2,2017-09-17 (W2),ARI 16 @ IND 13,2,,,3100
Arizona Cardinals,4170767 989,4170767,57253,989,4170767,2017-09-17,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,INDIANAPOL,IND,false,true,16,13,Cardinals,Colts,ARI,IND,2,785,0,10,4,1,1,1,PASS,0.232742,-0.0519162,3.2824,-2.97375,5,1,75,87,7,74,207,Downs,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> pass incomplete (thrown 1 yard downfield to the far right) to <a href="#" data-tmn-route-type="player" data-tmn-id="2079760">L. Fitzgerald</a>.,,400951632,,63693,63693,7,74,207,Downs,true,,,,,,,,0,2017-09-17 (W2),ARI 16 @ IND 13,2,,,3100
Arizona Cardinals,4170767 4128,4170767,57253,4128,4170767,2017-09-17,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,INDIANAPOL,IND,false,true,16,13,Cardinals,Colts,ARI,IND,4,17,13,13,1,10,31,31,RUSH,0.790965,0.0601119,1.86557,0.120507,22,4,51,25,4,27,25,Missed Field Goal,<a href="#" data-tmn-route-type="player" data-tmn-id="1953677">C. Palmer</a> rushes up the middle for 3 yards. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2314456">R. Melvin</a>.,,400951632,,72305,72305,4,27,25,Missed Field Goal,true,,,,,,,,3,2017-09-17 (W2),ARI 16 @ IND 13,4,,,3100
Arizona Cardinals,4170767 4357,4170767,57253,4357,4170767,2017-09-17,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,INDIANAPOL,IND,false,true,16,13,Cardinals,Colts,ARI,IND,5,587,13,13,1,10,21,21,RUSH,0.913345,0.0168309,4.07667,-0.354845,24,5,21,587,4,9,105,Made Field Goal,<a href="#" data-tmn-route-type="player" data-tmn-id="2157860">C. Johnson</a> rushes towards the left guard for 1yard. 0 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2477966">J. Simon</a>.,,400951632,,72871,72871,4,9,105,Made Field Goal,true,,,,,,,,1,2017-09-17 (W2),ARI 16 @ IND 13,5,,,3100
Arizona Cardinals,4170767 4380,4170767,57253,4380,4170767,2017-09-17,2,,8801,Arizona Cardinals,ARIZONA,REG,,true,INDIANAPOL,IND,false,true,16,13,Cardinals,Colts,ARI,IND,5,555,13,13,2,9,20,20,RUSH,0.930176,0.0212791,3.72183,-0.318274,24,5,21,587,4,9,105,Made Field Goal,<a href="#" data-tmn-route-type="player" data-tmn-id="2517377">K. Williams</a> rushes up the middle for 3 yards. 1 yards after contact. Tackle by <a href="#" data-tmn-route-type="player" data-tmn-id="2477966">J. Simon</a>.,,400951632,,72904,72904,4,9,105,Made Field Goal,true,,,,,,,,3,2017-09-17 (W2),ARI 16 @ IND 13,5,,,3100
Arizona Cardinals,4170791 128,4170791,57281,128,4170791,2017-09-25,3,,8801,Arizona Cardinals,ARIZONA,REG,,true,DALLAS,DAL,true,false,17,28,Cardinals,Cowboys,ARI,DAL,1,789,0,0,3,1,53,53,PENALTY,0.54283,0.00323902,1.90056,0.54498,1,1,82,900,8,82,301,Touchdown Pass,Defensive Offside on <a href="#" data-tmn-route-type="player" data-tmn-id="2972902">D. Lawrence</a> Accepted. 6 yard penalty and first down.,,400951668,,2067,2067,8,82,301,Touchdown Pass,true,,,,,,,,0,2017-09-25 (W3),DAL 28 @ ARI 17,1,,,3100
Arizona Cardinals,4170791 638,4170791,57281,638,4170791,2017-09-25,3,,8801,Arizona Cardinals,ARIZONA,REG,,true,DALLAS,DAL,true,false,17,28,Cardinals,Cowboys,ARI,DAL,1,165,0,7,4,1,39,39,PENALTY,0.727424,0.0471575,0.653199,2.52558,3,1,80,485,15,62,538,Missed Field Goal,Defensive Offside on <a href="#" data-tmn-route-type="player" data-tmn-id="2486729">B. Mayowa</a> Accepted. 6 yard penalty and first down.,,400951668,,,,15,62,538,Missed Field Goal,true,,,,,,,,0,2017-09-25 (W3),DAL 28 @ ARI 17,1,,,3100
