teamName,season,rushing_yards,ypc,ypc_over_expected,yards_over_expected,epa,count,aly_mib,freq
Arizona Cardinals,2009,1427,4.4,0.32,105.2217139362381,-0.05010394358153846,325,1.1,1
Arizona Cardinals,2010,1286,4.3,0.09,26.513274592832637,-0.08916748738410596,302,1.2,1
Arizona Cardinals,2011,1406,4.1,-0.15,-50.63004949335361,-0.03160866054913295,346,1.5,1
Arizona Cardinals,2012,1151,3.2,-0.96,-345.51791582612634,-0.16212461191135735,361,1.1,1
Arizona Cardinals,2013,1535,3.9,-0.38,-150.18707177633576,-0.050215451486146104,397,1.5,1
Arizona Cardinals,2014,1209,3.3,-1.05,-389.28528092303117,-0.1127529464522911,371,1.4,1
Arizona Cardinals,2015,1879,4.7,0.42,170.1426647882545,-0.012460447477611943,402,1.4,1
Arizona Cardinals,2016,1641,4.4,0.18,66.19511655895839,-0.0027532039627659543,376,1.4,1
Arizona Cardinals,2017,1399,3.5,-0.74,-297.02379798717834,-0.11829201654590571,403,1.5,1
Arizona Cardinals,2018,1177,3.6,-0.8,-264.6405215487153,-0.10300365978851964,331,1.5,1
Atlanta Falcons,2009,1658,4.3,0.33,127.39820925829031,0.02790214233766234,385,1.4,1
Atlanta Falcons,2010,1867,4,0.06,25.889444250425,0.015054934806034485,464,1.5,1
Atlanta Falcons,2011,1600,3.9,-0.18,-75.03892097792945,-0.058933500682038835,412,1.2,1
Atlanta Falcons,2012,1518,4,0,0.7076602582600855,-0.07983079339473685,380,1.2,1
Atlanta Falcons,2013,1178,3.9,-0.4,-123.01439053620987,-0.04266890590163934,305,1.5,1
Atlanta Falcons,2014,1351,3.9,-0.44,-150.70161186676282,-0.08335581248554913,346,1.4,1
Atlanta Falcons,2015,1452,4,-0.17,-61.20873609497556,-0.06586837601092896,366,1,1
Atlanta Falcons,2016,1768,4.5,0.44,175.7052950007026,0.03683892468513854,397,1.1,1
Atlanta Falcons,2017,1850,4.4,0.17,73.09377546041883,-0.054446664042553196,423,1.3,1
Atlanta Falcons,2018,1460,4.5,0.21,68.81459106941423,-0.06137530837920489,327,1.1,1
Baltimore Ravens,2009,1892,4.6,0.58,239.092054117351,0.0423628759223301,412,1.4,1
Baltimore Ravens,2010,1913,4.1,0.06,28.03216421061765,-0.03178010919739696,461,1.8,1
Baltimore Ravens,2011,1802,4.3,0.23,96.53206294923149,-0.060206446919431285,422,1.6,1
Baltimore Ravens,2012,2045,4.6,0.36,160.76035726498768,0.009214429111607143,448,1.6,1
Baltimore Ravens,2013,1164,2.9,-1.34,-532.8777136482371,-0.2129736567085427,398,1.3,1
Baltimore Ravens,2014,1982,4.7,0.69,292.79821073794074,0.005046318699763597,423,1.2,1
Baltimore Ravens,2015,1364,3.9,-0.42,-149.32775576193515,-0.09978466531249999,352,1.2,1
Baltimore Ravens,2016,1402,4,-0.37,-128.9680697132908,-0.03341814876790831,349,1.4,1
Baltimore Ravens,2017,1907,4.2,0.07,29.591415155926967,-0.002127573885209714,453,1.3,1
Baltimore Ravens,2018,2320,4.6,0.46,234.29360121828125,0.04776239921936759,506,1.5,1
Buffalo Bills,2009,1412,4.1,-0.19,-65.48293384038581,-0.06419139744252873,348,1.6,1
Buffalo Bills,2010,1672,4.4,0.03,13.340622582177234,-0.05136614291666667,384,1.5,1
Buffalo Bills,2011,1707,4.8,0.5,176.74494895481138,0.025280541926345608,353,1.4,1
Buffalo Bills,2012,2104,5.1,0.58,241.9732083957745,0.0172904940625,416,1.4,1
Buffalo Bills,2013,2137,4.4,0.11,52.791781933312954,-0.001439485061099796,491,1.4,1
Buffalo Bills,2014,1424,3.8,-0.54,-202.44629583033918,-0.08693674920212766,376,1.6,1
Buffalo Bills,2015,1943,4.9,0.53,212.57188807083145,0.039242142425,400,1.2,1
Buffalo Bills,2016,2231,5,0.96,427.2540665370267,0.06942002316027088,443,1,1
Buffalo Bills,2017,1756,3.9,-0.33,-150.53884488545293,-0.08301256769230769,455,1,1
Buffalo Bills,2018,1425,3.6,-0.73,-294.191662919656,-0.0529785623690773,401,1.4,1
Carolina Panthers,2009,2270,4.9,0.9,422.1406429555379,0.0212435591006424,467,1.1,1
Carolina Panthers,2010,1794,4.2,0.14,60.479558263523735,-0.13145876983451538,423,1.1,1
Carolina Panthers,2011,2047,5.3,1.18,454.6713192495321,0.15300920695336787,386,1.4,1
Carolina Panthers,2012,1945,4.5,0.26,114.58582082399691,0.022952479170506912,434,1.3,1
Carolina Panthers,2013,1663,3.9,-0.17,-73.96147796102343,-0.007813892383177569,428,1.4,1
Carolina Panthers,2014,1834,4.2,-0.02,-7.465596116790588,-0.05863319460648148,432,1.3,1
Carolina Panthers,2015,1974,4.4,0.23,105.16010573199385,0.005653201159292035,452,1.2,1
Carolina Panthers,2016,1743,4,-0.11,-48.576742431134555,0.00958703361751152,434,1.4,1
Carolina Panthers,2017,2025,4.3,0.09,42.024403567536694,-0.04329029445665962,473,1.4,1
Carolina Panthers,2018,1907,5.1,0.9,335.22097862548145,0.07288752229946524,374,1.4,1
Chicago Bears,2009,1182,3.7,-0.27,-85.93565181273242,-0.07929931041009464,317,1.5,1
Chicago Bears,2010,1430,3.8,-0.32,-120.31599384145015,-0.10615743968449198,374,1.2,1
Chicago Bears,2011,1838,4.4,0.21,86.98031113472315,-0.04951844423076923,416,1.3,1
Chicago Bears,2012,1773,4,-0.18,-81.36260036335224,-0.07519050303370786,445,1.4,1
Chicago Bears,2013,1656,4.5,0.25,92.61325743150584,-0.01768587139784946,372,1.1,1
Chicago Bears,2014,1255,3.9,-0.55,-177.00874918910333,-0.0527597347788162,321,1.4,1
Chicago Bears,2015,1623,3.9,-0.47,-199.13322214514895,-0.025708992565320665,421,1.8,1
Chicago Bears,2016,1628,4.6,0.27,95.54642366967835,-0.026329087954674223,353,1.4,1
Chicago Bears,2017,1750,4.1,-0.19,-79.71178727918935,-0.06754495944055944,429,1,1
Chicago Bears,2018,1631,4,-0.4,-164.17111812700918,-0.03101641927007299,411,1.5,1
Cincinnati Bengals,2009,1873,4.1,0.02,9.756494916806853,-0.025282948881578948,456,1.3,1
Cincinnati Bengals,2010,1425,3.6,-0.56,-218.46461602626033,-0.10768589139440204,393,1.3,1
Cincinnati Bengals,2011,1649,3.8,-0.28,-120.40629517526159,-0.06007922379814385,431,1.4,1
Cincinnati Bengals,2012,1660,4.1,-0.13,-51.19644237964709,-0.0018968239705882334,408,1.7,1
Cincinnati Bengals,2013,1627,3.8,-0.44,-188.70730681933057,-0.03780494534722222,432,1.6,1
Cincinnati Bengals,2014,2079,4.5,0.3,136.6465015117615,0.031468967987012986,462,1.5,1
Cincinnati Bengals,2015,1525,3.9,-0.24,-94.92003411879128,-0.07540871729113924,395,1.5,1
Cincinnati Bengals,2016,1602,4,-0.27,-108.8690344656333,-0.012769432172839506,405,1.5,1
Cincinnati Bengals,2017,1436,3.7,-0.63,-240.07447096908618,-0.06014081798955614,383,1.3,1
Cincinnati Bengals,2018,1502,4.6,0.25,81.46649979179227,-0.015095937294832827,329,1.1,1
Cleveland Browns,2009,1866,4.2,0.12,54.091815380416165,-0.027013320923423418,444,1.5,1
Cleveland Browns,2010,1634,4,-0.15,-61.1405249887439,-0.06645091138014528,413,1.6,1
Cleveland Browns,2011,1265,3.5,-0.79,-285.74849142627824,-0.1006258072967033,364,1.8,1
Cleveland Browns,2012,1504,3.9,-0.35,-134.40484650110716,-0.02522145520466321,386,1.5,1
Cleveland Browns,2013,1179,3.7,-0.45,-142.1738904348026,-0.055579671603773584,318,1.4,1
Cleveland Browns,2014,1641,3.6,-0.52,-237.38722155659036,-0.06924945092511013,454,1.1,1
Cleveland Browns,2015,1153,3.7,-0.5,-155.66964054815563,-0.11113128641935484,310,1.1,1
Cleveland Browns,2016,1379,4.4,0.08,25.755513257491835,-0.079326195,312,1,1
Cleveland Browns,2017,1574,4.3,0.07,25.71054169036459,-0.009954883305785128,363,1.3,1
Cleveland Browns,2018,1652,4.5,0.23,84.68831911439118,-0.01746306238108108,370,1.1,1
Dallas Cowboys,2009,1823,4.8,0.82,310.4938127250867,0.02682292242592593,378,1.3,1
Dallas Cowboys,2010,1641,4.2,0.24,93.83337486652673,-0.027653423086734696,392,1.4,1
Dallas Cowboys,2011,1798,4.6,0.47,184.29065370990543,-0.04044129220253165,395,1.4,1
Dallas Cowboys,2012,1260,3.6,-0.62,-213.99223105747913,-0.07761361453757225,346,1.4,1
Dallas Cowboys,2013,1459,4.6,0.39,124.69070253026942,0.06495585556962026,316,1.4,1
Dallas Cowboys,2014,2287,4.7,0.41,197.28082554028737,-0.0031413864609053524,486,1.4,1
Dallas Cowboys,2015,1659,4.5,0.15,54.3821823161568,0.006227904143631438,369,1.4,1
Dallas Cowboys,2016,2225,4.9,0.72,324.3639929306007,0.05037640491150443,452,1.4,1
Dallas Cowboys,2017,1973,4.3,0.16,72.62794044202907,0.055496105999999996,460,1.6,1
Dallas Cowboys,2018,1786,4.5,0.26,102.06180054368245,0.052763384217171715,396,1.2,1
Denver Broncos,2009,1708,4.3,0.24,94.97905146841542,-0.05062943355889724,399,1.5,1
Denver Broncos,2010,1370,3.7,-0.48,-175.96032878464922,-0.12279607836956521,368,1.2,1
Denver Broncos,2011,2179,4.6,0.31,147.54892264336291,-0.07516967866807611,473,1.3,1
Denver Broncos,2012,2054,4.1,-0.23,-112.45346583475063,-0.07224706315261044,498,1.5,1
Denver Broncos,2013,1859,4.3,-0.12,-51.97791615765674,0.003963696605080834,433,1.5,1
Denver Broncos,2014,1795,4.3,-0.08,-33.504487035612975,-0.002364559880668255,419,1.4,1
Denver Broncos,2015,1458,4,-0.38,-138.01311528725734,-0.07698738352486188,362,1.3,1
Denver Broncos,2016,1471,4,-0.31,-116.20712972224672,-0.07036453482479785,371,1.3,1
Denver Broncos,2017,1776,4,-0.38,-170.54143419173116,-0.08559903098654709,446,1.6,1
Denver Broncos,2018,1824,4.9,0.67,249.8104868141291,0.04016366013477089,371,1.4,1
Detroit Lions,2009,1297,3.7,-0.58,-202.50239270758053,-0.05596778329431818,352,1.2,1
Detroit Lions,2010,1410,3.8,-0.56,-208.04902737024761,-0.09488269469002696,371,1.1,1
