teamName,season,my_aly,aly_over_expected,aly
Arizona Cardinals,2009,2.77,0.12,4.16
Arizona Cardinals,2010,2.57,-0.13,3.84
Arizona Cardinals,2011,2.83,0.09,4.07
Arizona Cardinals,2012,2.1,-0.58,2.93
Arizona Cardinals,2013,2.61,-0.17,3.84
Arizona Cardinals,2014,2.35,-0.45,3.68
Arizona Cardinals,2015,2.82,0.04,4.18
Arizona Cardinals,2016,2.78,0.02,4.54
Arizona Cardinals,2017,2.57,-0.17,4.02
Arizona Cardinals,2018,2.66,-0.16,4
Atlanta Falcons,2009,2.77,0.18,4.23
Atlanta Falcons,2010,2.73,0.12,4.19
Atlanta Falcons,2011,2.44,-0.21,3.84
Atlanta Falcons,2012,2.52,-0.13,3.87
Atlanta Falcons,2013,2.6,-0.2,3.74
Atlanta Falcons,2014,2.67,-0.17,3.96
Atlanta Falcons,2015,2.56,-0.17,3.82
Atlanta Falcons,2016,2.73,0.07,4.4
Atlanta Falcons,2017,2.71,-0.05,4.35
Atlanta Falcons,2018,2.5,-0.28,4.08
Baltimore Ravens,2009,2.91,0.28,4.44
Baltimore Ravens,2010,2.9,0.22,4.19
Baltimore Ravens,2011,2.85,0.22,4.25
Baltimore Ravens,2012,2.94,0.21,4.33
Baltimore Ravens,2013,2.17,-0.62,3.01
Baltimore Ravens,2014,2.75,0.13,4.25
Baltimore Ravens,2015,2.62,-0.18,3.87
Baltimore Ravens,2016,2.65,-0.22,4.07
Baltimore Ravens,2017,2.81,0.1,4.36
Baltimore Ravens,2018,3.12,0.43,4.61
Buffalo Bills,2009,2.91,0.14,4.22
Buffalo Bills,2010,2.9,0.08,3.85
Buffalo Bills,2011,2.85,-0.01,4.19
Buffalo Bills,2012,3.15,0.23,4.25
Buffalo Bills,2013,2.79,0,3.85
Buffalo Bills,2014,2.65,-0.2,3.62
Buffalo Bills,2015,2.9,0.08,3.59
Buffalo Bills,2016,2.84,0.16,4.16
Buffalo Bills,2017,2.31,-0.41,3.67
Buffalo Bills,2018,2.57,-0.23,3.89
Carolina Panthers,2009,2.82,0.27,4.02
Carolina Panthers,2010,2.51,-0.12,3.74
Carolina Panthers,2011,3.04,0.35,4.32
Carolina Panthers,2012,2.7,-0.06,3.49
Carolina Panthers,2013,2.76,0.09,3.91
Carolina Panthers,2014,2.86,0.07,3.6
Carolina Panthers,2015,2.85,0.13,3.89
Carolina Panthers,2016,2.75,0.05,3.83
Carolina Panthers,2017,2.74,0,3.78
Carolina Panthers,2018,3.12,0.35,4.55
Chicago Bears,2009,2.54,-0.08,4.08
Chicago Bears,2010,2.41,-0.3,3.64
Chicago Bears,2011,2.68,-0.06,3.92
Chicago Bears,2012,2.69,-0.02,4.05
Chicago Bears,2013,2.62,-0.15,3.8
Chicago Bears,2014,2.82,-0.12,3.94
Chicago Bears,2015,2.96,0.12,4.09
Chicago Bears,2016,2.91,0.09,4.48
Chicago Bears,2017,2.45,-0.33,3.65
Chicago Bears,2018,2.71,-0.17,3.91
Cincinnati Bengals,2009,2.74,0.09,3.96
Cincinnati Bengals,2010,2.65,-0.1,4.04
Cincinnati Bengals,2011,2.71,0.05,3.99
Cincinnati Bengals,2012,2.79,0.03,4.15
Cincinnati Bengals,2013,2.81,0.08,4.03
Cincinnati Bengals,2014,2.84,0.07,4.03
Cincinnati Bengals,2015,2.83,0.12,4.21
Cincinnati Bengals,2016,2.7,-0.07,4.2
Cincinnati Bengals,2017,2.67,-0.2,3.79
Cincinnati Bengals,2018,2.68,-0.15,4.1
Cleveland Browns,2009,2.88,0.26,4.16
Cleveland Browns,2010,2.81,0.14,4.04
Cleveland Browns,2011,2.63,-0.14,3.94
Cleveland Browns,2012,2.77,0,4.03
Cleveland Browns,2013,2.59,-0.12,3.83
Cleveland Browns,2014,2.43,-0.28,3.63
Cleveland Browns,2015,2.28,-0.47,3.32
Cleveland Browns,2016,2.59,-0.26,3.73
Cleveland Browns,2017,2.82,0.02,4.09
Cleveland Browns,2018,2.57,-0.17,4.24
Dallas Cowboys,2009,2.97,0.38,4.48
Dallas Cowboys,2010,2.75,0.18,4.14
Dallas Cowboys,2011,2.91,0.25,4.22
Dallas Cowboys,2012,2.58,-0.18,3.92
Dallas Cowboys,2013,2.93,0.16,4.23
Dallas Cowboys,2014,2.92,0.11,4.4
Dallas Cowboys,2015,2.79,-0.02,4.11
Dallas Cowboys,2016,3.07,0.32,4.63
Dallas Cowboys,2017,2.95,0.24,4.66
Dallas Cowboys,2018,2.92,0.12,4.61
Denver Broncos,2009,2.97,0.34,4.3
Denver Broncos,2010,2.58,-0.15,3.6
Denver Broncos,2011,2.87,0.1,4.19
Denver Broncos,2012,2.95,0.08,4.13
Denver Broncos,2013,3,0.06,4.07
Denver Broncos,2014,2.82,-0.06,3.98
Denver Broncos,2015,2.6,-0.3,3.73
Denver Broncos,2016,2.78,-0.03,4.09
Denver Broncos,2017,2.81,-0.05,4.31
Denver Broncos,2018,3.06,0.31,4.75
Detroit Lions,2009,2.49,-0.27,3.64
